ID,Alas#,Genus,Species,Species number,FWL,Wing measure,Site,Elevation,Date
41792,3641792,Mesothen,montana,2,15,from specimen,4,550,2/9/2004
40250,3640250,Hyalurga,fenestra,6,29,from specimen,24,525,6/2/2003
40255,3640255,Hyalurga,fenestra,6,35,from specimen,23,525,4/19/2003
41152,3641152,Hypocrita,reedia,7,31,from specimen,6,1115,5/2/2003
40817,3640817,Cosmosoma,watsoni,8,25,from specimen,8,1690,5/6/2003
42337,3642337,Cosmosoma,watsoni,8,26,from specimen,7,1710,2/15/2004
40598,3640598,Eucereon,sp nr consorta,11,20,from specimen,5,1070,5/23/2003
40446,3640446,Lampruna,rosea,14,27,from specimen,10,2090,5/19/2003
41779,3641779,Balbura,intervenata,14,25,from specimen,9,2140,2/12/2004
41811,3641811,Dycladia,correbioides,14,26,from specimen,6,1115,2/18/2004
42317,3642317,Amastus,sp,14,28,from specimen,8,1690,2/16/2004
42318,3642318,Lophocampa,modesta,14,27,from specimen,9,2140,2/12/2004
43152,3643152,Opharus,sp,14,27,from specimen,5,1070,2/18/2004
43154,3643154,Amastus,rumina,14,28,from specimen,5,1070,2/18/2004
43155,3643155,Virbia,zonata,14,29,from specimen,6,1115,2/18/2004
43156,3643156,Opharus,sp,14,29,from specimen,6,1115,2/18/2004
40447,3640447,Ormetica,contraria,15,27,from specimen,6,1115,5/22/2003
40448,3640448,Ochrodota,sp nr constellata,15,18,from specimen,6,1115,5/22/2003
40389,3640389,Melese,sp,16,30,from specimen,10,2090,4/25/2003
40390,3640390,Amaxia,bella,16,32,from specimen,10,2090,4/25/2003
40386,3640386,Amaxia,pyga,17,30,from specimen,11,2725,5/26/2003
40387,3640387,Idalus,quadratus,17,29,from specimen,12,2730,4/28/2003
40395,3640395,Idalus,critheis,17,24,from specimen,10,2090,4/25/2003
40396,3640396,Agylla,sp,17,26,from specimen,9,2140,4/24/2003
40397,3640397,Lophocampa,debilis,17,26,from specimen,9,2140,4/24/2003
40398,3640398,Eucereon,flavicaput,17,25,from specimen,11,2725,5/26/2003
40399,3640399,Baritius,sp nr eleuthera,17,23,from specimen,9,2140,5/18/2003
40400,3640400,Pseudaclytia,sp,17,28,from specimen,12,2730,4/28/2003
40401,3640401,Opharus,sp,17,28,from specimen,12,2730,4/28/2003
40402,3640402,Melese,incertus,17,28,from specimen,12,2730,4/28/2003
41186,3641186,Melese,flavimaculata,17,28,from specimen,12,2730,4/28/2003
41802,3641802,Ormetica,metallica,17,26,from specimen,9,2140,2/12/2004
41875,3641875,Eucereon,tesselata,17,24,from specimen,7,1710,2/15/2004
41876,3641876,Paranerita,lophosticta,17,25,from specimen,9,2140,2/12/2004
41877,3641877,"Halysidota""",sp nr cyclozonata,17,29,from specimen,9,2140,2/12/2004
41878,3641878,Parevia,metachryseis,17,27,from specimen,9,2140,2/12/2004
41879,3641879,Astralarctica,canalis,17,28,from specimen,12,2730,2/22/2004
41880,3641880,Robinsonia,sp nr polyplagia,17,25,from specimen,8,1690,3/17/2004
41881,3641881,Ctenuchini,sp,17,25,from specimen,9,2140,2/12/2004
41882,3641882,Illice,tessellata,17,25,from specimen,8,1690,2/16/2004
43162,3643162,Ichoria,lycone,17,28,from specimen,12,2730,3/24/2004
43167,3643167,Paranerita,diversa,17,29,from specimen,12,2730,3/24/2004
40384,3640384,Eucereon,sp,19,35,from specimen,10,2090,4/25/2003
40385,3640385,Epeiromulona,sp nr phelina,19,34,from specimen,7,1710,5/5/2003
40588,3640588,Rhabdatomis,sp nr cora,19,35,from specimen,12,2730,2/22/2004
40590,3640590,Illice,croesus,19,37,from specimen,10,2090,2/13/2004
41780,3641780,Talara,sp nr minynthadia,19,34,from specimen,9,2140,2/12/2004
41781,3641781,Pseudopharus,hades,19,36,from specimen,9,2140,2/12/2004
41800,3641800,Lycomorphodes,sordida,19,35,from specimen,9,2140,2/12/2004
43177,3643177,Notarctia,sp,19,36,from specimen,7,1710,3/18/2004
43178,3643178,Sychesia,dryas,19,36,from specimen,7,1710,3/18/2004
43206,3643206,Pelochyta,sp,19,36,from specimen,8,1690,3/17/2004
43231,3643231,CTENUCHINI,sp,19,38,from specimen,10,2090,2/13/2004
43236,3643236,Agylla,sp,19,33,from specimen,10,2090,3/11/2004
43237,3643237,'Hypercompe',conspersa,19,36,from specimen,10,2090,3/11/2004
43243,3643243,Tricypha,imperialis,19,36,from specimen,10,2090,3/11/2004
43244,3643244,Agaraea,inconspicua,19,37,from specimen,10,2090,3/11/2004
